#Fent servir el metode de Euler amb x0=1.000000 , y0=1.000000, z0=1.000000, sigma=10.000000, b=2.666667, r=350.000000, Tmax=100.000000, h=0.010000 ,obtenim els resultats: 
#Temps 			 X 			 Y 			 Z 			 X^2 
0.000000 		 1.000000 		 4.480000 		 0.983333 		 1.000000
1.389999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.399999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.409999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.419999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.429999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.439999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.449999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.459999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.469999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.479999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.489999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.499999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.509999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.519999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.529999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.539999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.549999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.559999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.569999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.579999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.589999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.599999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.609999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.619999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.629999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.639999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.649999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.659999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.669999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.679999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.689999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.699999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.709999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.719999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.729999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.739999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.749999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
